time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1999-08-17T21:47:38.840Z,40.763,30.079,10,4.1,mb,,,,1.18,us,usp0009d88,2014-11-07T01:08:17.294Z,"6 km ENE of Köseköy, Turkey",earthquake,,,,2,reviewed,us,us
1999-08-19T14:15:58.840Z,40.608,29.2,10,4.5,mb,,,,1.35,us,usp0009dav,2014-11-07T01:08:17.608Z,"2 km WSW of Kad?köy, Turkey",earthquake,,,,39,reviewed,us,us
1999-08-19T15:17:45.040Z,40.618,29.138,10,5.2,mwc,,,,1.19,us,usp0009daz,2022-04-29T17:49:28.173Z,"3 km SSE of Ç?narc?k, Turkey",earthquake,,,,,reviewed,us,hrv
1999-08-19T15:26:22.260Z,40.652,29.152,10,3.8,mb,,,,1.03,us,usp0009db0,2014-11-07T01:08:17.645Z,"0 km WSW of Koruköy, Turkey",earthquake,,,,5,reviewed,us,us
1999-08-20T00:03:01.960Z,40.72,29.994,10,4.1,mb,,,,1.19,us,usp0009dbt,2014-11-07T01:08:17.932Z,"0 km SE of Kullar, Turkey",earthquake,,,,13,reviewed,us,us
1999-08-20T09:48:36.740Z,40.694,29.708,10,4,mb,,,,1.49,us,usp0009dcd,2014-11-07T01:08:18.193Z,"1 km SE of Ula?l?, Turkey",earthquake,,,,2,reviewed,us,us
1999-08-20T20:12:42.130Z,40.599,29.159,10,3.9,mb,,,,1.09,us,usp0009ddj,2014-11-07T01:08:18.350Z,"5 km SSE of Ç?narc?k, Turkey",earthquake,,,,9,reviewed,us,us
1999-08-21T10:01:27.580Z,40.658,29.293,10,3.8,mb,,,,1.27,us,usp0009dej,2014-11-07T01:08:18.805Z,"1 km ENE of Yalova, Turkey",earthquake,,,,7,reviewed,us,us
1999-08-23T21:54:51.570Z,40.615,29.162,10,4.1,mb,,,,1.07,us,usp0009dj1,2014-11-07T01:08:19.563Z,"4 km S of Koruköy, Turkey",earthquake,,,,5,reviewed,us,us
1999-08-24T18:58:57.490Z,40.659,30.16,10,4.2,mb,,,,1.24,us,usp0009dk4,2014-11-07T01:08:19.782Z,"9 km WSW of Sapanca, Turkey",earthquake,,,,2,reviewed,us,us
1999-08-26T17:49:38.080Z,40.744,30.016,10,4.8,mb,,,,1.08,us,usp0009dpe,2014-11-07T01:08:20.205Z,"0 km ENE of Köseköy, Turkey",earthquake,,,,1,reviewed,us,us
1999-08-28T08:27:47.960Z,40.818,29.871,10,3.5,mb,,,,0.67,us,usp0009drc,2014-11-07T01:08:20.925Z,"7 km NW of ?zmit, Turkey",earthquake,,,,1,reviewed,us,us
1999-08-30T15:24:37.140Z,40.75,29.266,8.5,3.5,md,,,,,us,usp0009duj,2014-11-07T01:08:21.362Z,"10 km N of Yalova, Turkey",earthquake,,,,,reviewed,isk,isk
1999-08-31T08:10:49.530Z,40.711,29.949,10,5.2,mwc,,,,1.04,us,usp0009dv7,2022-04-29T18:17:12.787Z,"2 km NNE of Kar??yaka, Turkey",earthquake,,,,,reviewed,us,hrv
1999-08-31T08:33:23.830Z,40.708,29.954,10,4.5,mb,,,,1.13,us,usp0009dv9,2014-11-07T01:08:21.441Z,"1 km NNE of Kar??yaka, Turkey",earthquake,,,,76,reviewed,us,us
1999-09-04T10:30:46.410Z,40.741,30.032,17.3,4,mb,,,,,us,usp0009e0f,2014-11-07T01:08:26.074Z,"2 km E of Köseköy, Turkey",earthquake,,,,2,reviewed,isk,us
1999-09-09T01:32:08.120Z,40.718,29.144,13.1,5,mb,,,,,us,usp0009e74,2014-11-07T01:08:27.645Z,"7 km NNW of Koruköy, Turkey",earthquake,,,,4,reviewed,isk,us
1999-09-13T11:55:28.180Z,40.709,30.045,13,5.9,mwb,,,,0.93,us,usp0009ede,2022-04-29T18:17:56.667Z,"4 km SE of Köseköy, Turkey",earthquake,,,,,reviewed,us,us
1999-09-17T19:50:04.880Z,40.711,30.154,10,4.3,mb,,,,1.08,us,usp0009ejg,2014-11-07T01:08:29.636Z,"9 km WNW of Sapanca, Turkey",earthquake,,,,21,reviewed,us,us
1999-09-18T00:48:24.660Z,40.607,29.297,10,4.5,mb,,,,1.05,us,usp0009ejt,2014-11-07T01:08:29.881Z,"5 km SSE of Yalova, Turkey",earthquake,,,,47,reviewed,us,us
1999-09-24T13:44:49.780Z,40.804,30.297,10,3.8,md,,,,,us,usp0009eyf,2014-11-07T01:08:31.591Z,"9 km WNW of Adapazar?, Turkey",earthquake,,,,,reviewed,isk,isk
1999-09-29T00:13:05.580Z,40.739,29.346,10,5.2,mwc,,,,1.23,us,usp0009f5w,2022-04-29T18:19:07.304Z,"8 km NNW of Ta?köprü, Turkey",earthquake,,,,,reviewed,us,hrv
1999-10-11T02:47:47.140Z,40.667,29.048,0.1,3.9,md,,,,,us,usp0009fpt,2014-11-07T01:08:41.310Z,"4 km NNE of Kocadere, Turkey",earthquake,,,,,reviewed,isk,isk
1999-10-14T14:20:33.560Z,40.735,30.404,0.3,3.6,md,,,,,us,usp0009fu1,2014-11-07T01:08:41.812Z,"5 km S of Adapazar?, Turkey",earthquake,,,,,reviewed,isk,isk
1999-10-20T23:08:19.540Z,40.77,29.087,10,4.6,mb,,,,1.27,us,usp0009gax,2014-11-07T01:08:45.133Z,"11 km SSW of Adalar, Turkey",earthquake,,,,42,reviewed,us,us
1999-11-07T11:15:36.460Z,40.745,30.227,10,3.8,mb,,,,0.79,us,usp0009h7e,2014-11-07T01:08:55.594Z,"6 km NNW of Sapanca, Turkey",earthquake,,,,1,reviewed,us,us
1999-11-11T14:41:25.610Z,40.744,30.266,22,5.7,mwb,,,,,us,usp0009hd3,2022-04-29T18:11:00.581Z,"5 km N of Sapanca, Turkey",earthquake,,,,,reviewed,isk,us
1999-11-11T14:55:24.320Z,40.784,30.448,10,4.1,mb,,,,1.27,us,usp0009hd6,2014-11-07T01:08:57.118Z,"3 km E of Adapazar?, Turkey",earthquake,,,,12,reviewed,us,us
2000-01-31T14:38:51.280Z,40.713,29.345,10,4.1,mb,,,,1.29,us,usp0009mw9,2014-11-07T01:09:22.981Z,"5 km NW of Ta?köprü, Turkey",earthquake,,,,14,reviewed,us,us
2000-02-09T16:41:32.490Z,40.717,29.924,10,3.7,mb,,,,1.05,us,usp0009n8n,2014-11-07T01:09:29.091Z,"2 km NNW of Kar??yaka, Turkey",earthquake,,,,2,reviewed,us,us
2000-04-02T18:57:38.300Z,40.803,30.244,7,4.6,mb,,,,,us,usp0009qqa,2014-11-07T01:09:50.499Z,"12 km N of Sapanca, Turkey",earthquake,,,,46,reviewed,isk,us
2000-07-07T00:15:30.990Z,40.837,29.218,8.8,4.2,mb,89,,,,us,usp0009vyh,2020-07-08T00:58:03.760Z,"7 km W of ?çmeler, Turkey",earthquake,,,,34,reviewed,isk,us
2000-09-06T14:22:59.290Z,40.648,29.193,7.8,3.6,mb,21,,,,us,usp0009zt6,2014-11-07T01:11:03.142Z,"2 km ESE of Koruköy, Turkey",earthquake,,,,1,reviewed,isk,us
2000-09-19T09:22:45.820Z,40.739,29.224,10,3.6,mb,30,,,0.88,us,usp000a0gr,2014-11-07T01:11:05.998Z,"10 km NNW of Yalova, Turkey",earthquake,,,,1,reviewed,us,us
2000-11-23T18:26:09.920Z,40.727,30.417,11.9,3.9,mb,44,,,,us,usp000a4s1,2014-11-07T01:11:33.216Z,"6 km S of Adapazar?, Turkey",earthquake,,,,1,reviewed,isk,us
2001-01-16T03:33:02.470Z,40.916,29.097,10,3.8,mb,41,,,1.21,us,usp000a7s8,2014-11-07T01:11:56.127Z,"3 km ENE of K?nal?, Turkey",earthquake,,,,1,reviewed,us,us
2002-02-28T08:37:51.270Z,40.819,28.123,9.7,3.9,mb,41,,,,us,usp000azbk,2014-11-07T01:14:58.542Z,Western Turkey,earthquake,,,,1,reviewed,isk,us
2002-11-03T18:17:08.600Z,41.03,28.04,45,3.6,md,13,,,,us,usp000bg03,2014-11-07T01:16:56.977Z,"4 km ENE of Sultanköy, Turkey",earthquake,,,,,reviewed,ath,ath
2004-05-16T03:30:48.790Z,40.696,29.322,11,4.4,mb,174,13.7,,,us,usp000cv63,2014-11-07T01:22:19.425Z,"3 km N of Çiftlikköy, Turkey",earthquake,,,,15,reviewed,isk,us
2004-09-29T15:42:07.670Z,40.781,29.02,12.5,4,ml,48,48.4,,,us,usp000d5at,2014-11-07T01:23:35.183Z,"12 km SSW of Adalan, Turkey",earthquake,,,,,reviewed,isk,isk
2005-11-26T22:27:49.000Z,40.663,29.081,9.1,3.7,md,8,134.1,,,us,usp000e4z4,2014-11-07T01:27:44.185Z,"4 km WNW of Ç?narc?k, Turkey",earthquake,,,,,reviewed,isk,ath
2006-02-08T04:07:41.620Z,40.704,30.352,8.8,4.6,mb,75,61.3,,,us,usp000e9rd,2014-11-07T01:28:17.355Z,"7 km E of Sapanca, Turkey",earthquake,,,,8,reviewed,isk,us
2006-02-08T05:24:25.870Z,40.69,30.349,10.7,3.8,md,26,67.6,,,us,usp000e9rj,2014-11-07T01:28:17.393Z,"6 km E of Sapanca, Turkey",earthquake,,,,,reviewed,isk,ath
2007-08-01T19:03:09.850Z,40.754,30.082,10,3.9,ml,14,106.3,,1.06,us,usp000fhmg,2014-11-07T01:33:09.354Z,"6 km ENE of Köseköy, Turkey",earthquake,,,,,reviewed,us,isk
2008-03-12T18:53:31.000Z,40.621,29.011,11.2,4.3,mb,176,24,,,us,usp000g1ba,2022-07-13T20:44:14.415Z,,earthquake,,,,16,reviewed,isk,us
2008-10-05T06:04:05.000Z,40.65,29.017,8.5,4.1,ml,18,53.6,,,us,usp000gjc6,2014-11-07T01:37:23.826Z,"2 km NNW of Kocadere, Turkey",earthquake,,,,,reviewed,isk,isk
2008-10-22T01:00:35.000Z,40.748,29.174,9.4,3.6,ml,10,123.8,,,us,usp000gksg,2014-11-07T01:37:31.232Z,"10 km N of Koruköy, Turkey",earthquake,,,,,reviewed,isk,isk
2010-05-15T14:08:23.000Z,41.183,30.121,8.9,4.3,ml,45,54,,,us,usp000hcss,2014-11-07T01:41:29.464Z,"9 km W of Kefken, Turkey",earthquake,,,,,reviewed,isk,isk
2010-10-03T17:49:02.960Z,40.847,28.11,11.2,4.4,mb,35,48.5,,,us,usp000hmjk,2014-11-07T01:42:38.493Z,"18 km SE of Marmara Ere?lisi, Turkey",earthquake,,,,5,reviewed,isk,us
2011-01-20T02:09:37.000Z,40.71,29.763,11.8,4.1,mb,57,48.6,,,us,usp000htcm,2014-11-07T01:43:27.831Z,"1 km SE of Hal?dere, Turkey",earthquake,,,,4,reviewed,isk,us
2014-02-05T01:56:44.100Z,41.3725,28.6327,12,3.8,ml,,,,0.77,us,usc000mj1p,2014-04-22T18:30:05.000Z,"8 km NNW of Durusu, Turkey",earthquake,,5.4,,,reviewed,isk,isk
2014-08-03T22:22:45.390Z,40.6243,29.2073,10.04,4,mb,,40,1.524,0.92,us,usb000rzq2,2022-08-07T00:53:33.636Z,"1 km WNW of Kad?köy, Turkey",earthquake,,5,0.126,17,reviewed,us,us
2015-11-16T15:45:44.660Z,40.8751,28.7644,9.27,4.4,mb,,54,1.407,0.76,us,us10003ypf,2022-08-01T18:08:07.598Z,"14 km SSE of Yakuplu, Turkey",earthquake,4.8,3.5,0.239,5,reviewed,us,us
2016-06-25T05:40:11.000Z,40.7032,29.2147,6.8,4.1,mb,,,,0.83,us,us200066rf,2016-08-31T03:08:15.040Z,"6 km NE of Koruköy, Turkey",earthquake,5.2,5.7,0.158,11,reviewed,isk,us
2016-07-17T08:55:41.580Z,40.7118,29.18,7.4,4.2,mb,,,,0.65,us,us20006fbz,2016-09-17T01:27:48.040Z,"6 km NNE of Koruköy, Turkey",earthquake,5,5.3,0.305,3,reviewed,isk,us
2018-11-30T02:36:35.720Z,40.595,28.955,10,4.2,mb,,44,1.713,1.19,us,us1000hy6z,2019-02-09T19:02:08.040Z,"7 km WSW of Kocadere, Turkey",earthquake,5.3,1.9,0.215,6,reviewed,us,us
2018-12-20T06:34:25.190Z,40.6063,28.9761,10,4.3,mb,,24,0.714,0.67,us,us2000iv9d,2019-02-23T20:20:44.040Z,"5 km WSW of Kocadere, Turkey",earthquake,2.1,1.9,0.138,15,reviewed,us,us
2019-09-24T08:00:24.160Z,40.8578,28.1454,10,4.9,mb,,39,1.592,1.23,us,us60005mmr,2019-12-20T19:02:02.040Z,"20 km SE of Marmara Ere?lisi, Turkey",earthquake,5.1,1.9,0.067,70,reviewed,us,us
2019-09-26T10:59:25.648Z,40.9035,28.1502,8,5.7,mww,,19,1.595,0.9,us,us70005lkl,2023-02-16T23:32:27.836Z,"17 km ESE of Marmara Ere?lisi, Turkey",earthquake,5.2,1.8,0.033,88,reviewed,us,us
2019-09-26T11:26:37.619Z,40.8568,28.1814,10,4.4,mb,,56,1.619,0.81,us,us70005ll1,2019-12-20T19:02:49.040Z,"22 km ESE of Marmara Ere?lisi, Turkey",earthquake,5.6,1.9,0.19,8,reviewed,us,us
2019-09-26T20:02:41.002Z,40.849,28.1699,10,4.5,mb,,73,1.611,1.01,us,us70005s19,2019-12-20T19:04:23.040Z,"22 km SE of Marmara Ere?lisi, Turkey",earthquake,5.7,1.9,0.542,1,reviewed,us,us
2019-09-26T20:20:18.595Z,40.8151,28.1964,10,4.3,mb,,46,1.632,0.56,us,us70005lyy,2019-12-20T19:02:59.040Z,"26 km SE of Marmara Ere?lisi, Turkey",earthquake,5.4,2,0.308,3,reviewed,us,us
2019-10-10T16:52:03.151Z,40.7283,29.2125,10,4.3,mb,,55,1.272,0.69,us,us70005t3c,2019-12-28T20:45:47.040Z,"9 km NNE of Koruköy, Turkey",earthquake,3.7,1.9,0.306,3,reviewed,us,us
2020-01-11T13:37:37.109Z,40.9289,28.2394,10,4.9,mb,,24,1.316,0.76,us,us70006ye3,2020-04-14T00:07:22.846Z,"16 km S of Silivri, Turkey",earthquake,5.5,1.9,0.047,140,reviewed,us,us
2020-03-08T04:21:05.388Z,40.7105,29.2313,10,4.4,mb,,51,1.249,0.75,us,us60008bx1,2020-05-23T22:03:32.040Z,"7 km NNW of Yalova, Turkey",earthquake,4.1,1.9,0.203,7,reviewed,us,us
2020-09-24T13:38:30.435Z,40.8777,28.0878,10,4.4,mb,,65,1.237,1.22,us,us6000c0iv,2021-12-14T16:54:40.609Z,"15 km SE of Marmara Ere?lisi, Turkey",earthquake,3.9,1.9,0.219,6,reviewed,us,us
2021-06-19T12:07:52.133Z,40.9881,29.1424,9.81,3.5,ml,,87,1.492,0.99,us,us7000ef27,2021-08-27T18:57:35.040Z,"2 km ENE of Ata?ehir, Turkey",earthquake,4.5,7.3,0.077,22,reviewed,us,us
